,Title,Earliest Semester Takeable,Prereqs,Coreqs,Exclusions,Notes,Semesters Available,Raw Prereqs
MAT157Y1,Analysis I,"(1, 'Fall-Winter')",,,,,Fall-Winter,High school level calculus
MAT195H1,Mathematics as an Interdisciplinary Pursuit,"(1, 'Winter')",,,,,Winter,
MAT198H1,Cryptology: The Mathematics of Secrecy and Security,"(2, 'Fall')",,,,,Fall,High school level algebra.
MAT199H1,Aha! Mathematical Discovery and Creative Problem Solving,"(1, 'Winter')",,,,,Winter,High school level algebra
MAT223H1,Linear Algebra I,"(0, 'Fall')!!",,,"MAT224H1,MAT240H1,MAT247H1,MAT185H1,MAT188H1",,"Fall!!,Winter",High school level calculus
MAT224H1,Linear Algebra II,"(1, 'Winter')!!",,,,,"Fall!!,Winter!!",MAT221H1(80%)/MAT223H1/MAT223H5/ MATA22H3/ MATA23H3/ MAT240H1/MAT240H5
MAT235Y1,Multivariable Calculus,"(2, 'Fall-Winter')!!",,,"MAT237Y1,MAT291H1,MAT294H1",,Fall-Winter!!,"MAT133Y1/ MAT133Y5/ (MATA32H3, MATA33H3)/ (MAT135H1, MAT136H1)/ (MAT135H5, MAT136H5)/ (MATA30H3/ MATA31H3, MATA36H3/MATA37H3)/ MAT137Y1/ MAT137Y5/ (MAT137H5, MAT139H5)/ MAT157Y1/ MAT157Y5/ (MAT157H5, MAT159H5) "
MAT237Y1,Multivariable Calculus with Proofs,"(2, 'Fall-Winter')",,,,,Fall-Winter,"[MAT133Y1/ (MAT135H1, MAT136H1)/ (MAT135H5, MAT136H5)/ (MATA30H3/ MATA31H3, MATA36H3), MAT138H1/ MAT102H5/ MAT246H1]/ MAT137Y1/ MAT137Y5/ (MAT137H5, MAT139H5)/ (MATA30H3/ MATA31H3, MATA37H3)/ MAT157Y1/ MAT157Y5/ (MAT157H5, MAT159H5), MAT223H1/ MATA22H3/ MATA23H3/ MAT240H1/ MAT240H5"
MAT240H1,Algebra I,"(0, 'Fall')",,,,,Fall,High school level calculus
MAT244H1,Introduction to Ordinary Differential Equations,"(2, 'Fall')!!",,,"MAT292H1,MAT267H1",,"Fall!!,Winter!!","(MAT133Y1/ MAT135H1/ MAT135H5/ MATA35H3/ MATA30H3/ MATA31H3, MAT136H1/ MAT136H5/ MATA36H3/ MATA37H3)/ MAT135Y5/ MAT137Y1/ MAT137Y5/ (MAT137H5, MAT139H5)/ MAT157Y1/ MAT157Y5/ (MAT157H5, MAT159H5), MAT223H1/ MATA23H3/ MAT223H5/ MAT240H1/ MAT240H5"
MAT246H1,Concepts in Abstract Mathematics,"(2, 'Winter')!!",((MAT135H1;MAT136H1)),,MAT157Y1,,"Fall!!,Winter!!","MAT133Y1/ MAT133Y5/ (MATA32H3, MATA33H3)/ (MAT135H1, MAT136H1)/ (MAT135H5, MAT136H5)/ (MATA30H3/ MATA31H3, MATA36H3/ MATA37H3)/ MAT137Y1/ MAT137Y5/ (MAT137H5, MAT139H5), MAT223H1/ MATA22H3/ MATA23H3/ MAT240H1/ MAT240H5"
MAT247H1,Algebra II,"(1, 'Winter')!!",,,,,Winter!!,MAT240H1/ MAT240H5
MAT257Y1,Analysis II,"(2, 'Fall-Winter')",,,,,Fall-Winter,"MAT157Y1/ (MAT157H5, MAT159H5)/ MAT157Y5, MAT247H1/ MAT247H5"
MAT267H1,Advanced Ordinary Differential Equations,"(2, 'Winter')!!",,,"MAT234H1,MAT292H1",,Winter!!,"MAT157Y1/ (MAT157H5, MAT159H5)/ MAT157Y5, MAT247H1/ MAT247H5"
MAT271H1,Insights from Mathematics,"(2, 'Fall')",,,,,Fall,
MAT296H1,Independent Reading in Mathematics,"(1, 'Winter')",,,,Note: Need undergrad chair permission,"Fall,Winter",Minimum GPA of 3.5 in APM and MAT courses. Permission of the Associate Chair for Undergraduate Studies and of the prospective supervisor.
MAT301H1,Groups and Symmetries,"(2, 'Fall')!!",()/(MAT185H1(unaccounted);MAT194H1(unaccounted);MAT195H1),,MAT347Y1,,"Fall!!,Winter!!","MAT257Y1/ (MAT224H1/ MAT247H1, MAT235Y1/ MAT237Y1, MAT246H1/ MAT157Y1/ (MAT157H5, MAT159H5)/ MAT157Y5/ CSC236H1/ CSC240H1)/ (MAT185H1, MAT194H1, MAT195H1)"
MAT309H1,Introduction to Mathematical Logic,"(3, 'Fall')",,,CSC438H1,,Fall,"MAT257Y1/ [MAT223H1/ MATA23H3/ MAT223H5/ MAT240H1/ MAT240H5, MAT235Y1/ MAT235Y5/ (MAT232H5, MAT236H5)/ (MATB41H3, MATB42H3/ MATB43H3)/ MAT237Y1/ MAT237Y5, MAT246H1/ MAT157Y1/ (MAT157H5, MAT159H5)/ MAT157Y5/ CSC236H1/ CSC240H1]"
MAT315H1,Introduction to Number Theory,"(2, 'Fall')!!",,,,,"Fall!!,Winter!!","(MAT223H1/ MATA23H3/ MAT223H5/ MAT240H1/ MAT240H5, MAT235Y1/ MAT235Y5/ (MAT232H5, MAT236H5)/ (MATB41H3, MATB42H3)/ MAT237Y1/ (MATB41H3, MATB42H3, MATB43H3)/ MAT237Y5, MAT246H1/ CSC236H1/ CSC240H1)/ MAT157Y1/ MAT157Y5/ (MAT157H5, MAT159H5)/ MAT247H1/ MAT247H5"
MAT327H1,Introduction to Topology,"(2, 'Fall')!!",,,,,Fall!!,"MAT157Y1/ MAT157Y5/ (MAT157H5, MAT159H5)/ [(MAT237Y1/ (MATB41H3, MATB42H3/ MATB43H3)/ MAT237Y5), MAT246H1]"
MAT329Y1,Concepts in Elementary Mathematics,"(2, 'Fall-Winter')",,,,"Need 5.0 credits with a CGPA of at least 2.5, and",Fall-Winter,"5.0 credits with a CGPA of at least 2.5, and MAT137Y1/ MAT137Y5/ (MAT137H5, MAT139H5)/ MAT138H1/ (MAT223H1/ MAT240H1)/ [MAT246H1/ MAT157Y1/ MAT157Y5/ (MAT157H5, MAT159H5)] "
