,Title,Earliest Semester Takeable,Prereqs,Coreqs,Exclusions,Notes,Semesters Available,Raw Prereqs
PLN420H1,Interdisciplinary Seminar in Planetary Science,"(2, 'Fall-Winter')",,,,,Fall-Winter,
PLN425H1,Research in Planetary Science,"(2, 'Fall-Winter')",,,,,Fall-Winter,
SMC199H1,"Intelligence, Artificial and Human","(2, 'Fall')",,,CSC199H1,,Fall,
ECO220Y1,Introduction to Data Analysis and Applied Econometrics,"(2, 'Fall-Winter')!!",((ECO101H1(unaccounted);ECO102H1(unaccounted))/ECO105Y1(unaccounted)),,"GGR270H1,PSY201H1,PSY202H1,SOC202H1,SOC252H1,STA220H1,STA221H1,STA248H1",,Fall-Winter!!,"( ECO101H1(63%),  ECO102H1(63%))/  ECO105Y1(80%)/  ECO100Y5(67%)/ ( ECO101H5(63%),  ECO102H5(63%))/ ( MGEA02H3(67%),  MGEA06H3 (67%));  MAT133Y1/ ( MAT135H1,  MAT136H1)/  MAT137Y1/  MAT157Y1"
ECO225H1,Big-Data Tools for Economists,"(2, 'Winter')!!",((ECO101H1(unaccounted);ECO102H1(unaccounted))/ECO105Y1(unaccounted)),,"CSC311H1,ESC190H1,JSC270H1,STA314H1",,Winter!!,"( ECO101H1(63%),  ECO102H1(63%))/  ECO105Y1(80%)/  ECO100Y5(67%)/ ( ECO101H5(63%),  ECO102H5(63%))/ ( MGEA02H3 (67%),  MGEA06H3 (67%));  MAT133Y1(63%)/ ( MAT135H1(60%),  MAT136H1(60%))/  MAT137Y1(55%)/  MAT157Y1(55%);  CSC108H1/  CSC110Y1/  CSC148H1"
ECO482H1,Machine Learning Applications in Macroeconomic Finance,"(3, 'Fall')!!",(ECO200Y1(unaccounted)/ECO204Y1(unaccounted)/ECO206Y1(unaccounted));(ECO202Y1(unaccounted)/ECO208Y1(unaccounted)/ECO209Y1(unaccounted));(ECO220Y1/ECO227Y1(unaccounted)/(STA237H1;STA238H1)/(STA247H1(unaccounted);STA248H1(unaccounted))/(STA257H1;STA261H1)),,"CSC311H1,STA314H1,ECO481H1","Prereq: ('', 'at least ', '', 'in ECO ', '+ ', '', '')","Fall!!,Winter!!","CSC108H1/  CSC110Y1/  CSC148H1,  ECO200Y1/  ECO204Y1/  ECO206Y1,  ECO202Y1/  ECO208Y1/  ECO209Y1,  ECO220Y1/  ECO227Y1/ ( STA237H1,  STA238H1)/ ( STA247H1,  STA248H1)/ ( STA257H1,  STA261H1), at least 1.0 credit in ECO at the 300+ level."
EEB125H1,Introductory Computation and Data Science for the Life and Physical Sciences,"(1, 'Winter')!!",,,"CSC111H1,CSC148H1,STA130H1,STA238H1,STA248H1,STA261H1,GGR274H1",,Winter!!,
EEB313H1,Quantitative Methods in R for Biology,"(2, 'Fall')!!",BIO220H1(unaccounted);(EEB225H1(unaccounted)/STA288H1/STA220H1),,"STA130H1,PSY305H1",,Fall!!,"BIO220H1,  EEB225H1/ STA288H1/ STA220H1"
ENG286H1,Literature and Data,"(2, 'Fall')!!",,,"CSC111H1,CSC148H1,STA130H1,STA238H1,STA248H1,STA261H1,GGR274H1,EEB125H1","Prereq: 4.0 creditsUncleanable string: ""1.0 ENG credit or any 4.0 credits""",Fall!!,1.0 ENG credit or any 4.0 credits
ENG287H1,The Digital Text,"(1, 'Winter')!!",,,,"Prereq: 4.0 creditsUncleanable string: ""1.0 ENG credit or any 4.0 credits""",Winter!!,1.0 ENG credit or any 4.0 credits
ENV338H1,Environmental Research Data and Decision-making,"(2, 'Fall')!!",ENV222H1(unaccounted),,,"Prereq: 8.0 creditsUncleanable string: ""Completion of 8.0 credits including  ENV221H1/ ENV222H1 and  ENV223H1. Students who do not meet the prerequisites are encouraged to contact the Undergraduate Associate Director.""",Fall!!,Completion of 8.0 credits including  ENV221H1/ ENV222H1 and  ENV223H1. Students who do not meet the prerequisites are encouraged to contact the Undergraduate Associate Director.
ESS245H1,Computational Geology,"(2, 'Winter')",MAT198H1;MAT199H1;PHY196H1;PHY197H1;PHY198H1;PHY199H1,,ESS345H1,"Uncleanable string: ""1.0 credit from first-year math, or physics courses except  MAT193H1,  MAT198H1,  MAT199H1,  PHY196H1,  PHY197H1,  PHY198H1,  PHY199H1""",Winter,"1.0 credit from first-year math, or physics courses except  MAT193H1,  MAT198H1,  MAT199H1,  PHY196H1,  PHY197H1,  PHY198H1,  PHY199H1"
GGR272H1,Geographic Information and Mapping I,"(1, 'Winter')!!",,,,,"Fall!!,Winter!!",
GGR274H1,Introductory Computation and Data Science for the Social Sciences,"(1, 'Winter')!!",,,"CSC111H1,CSC148H1,STA130H1,STA238H1,STA248H1,STA261H1,EEB125H1",,Winter!!,
GGR375H1,Introduction to Programming in GIS,"(2, 'Fall')",GGR274H1,,GGR386H1,"Prereq: 8.0 creditsUncleanable string: ""8.0 credits including  GGR272H1/  GGR274H1""",Fall,8.0 credits including  GGR272H1/  GGR274H1
GGR376H1,Geovisualization,"(2, 'Fall')",GGR274H1,,GGR386H1,"Prereq: 8.0 creditsUncleanable string: ""8.0 credits including  GGR272H1/  GGR274H1""",Fall,8.0 credits including  GGR272H1/  GGR274H1
GGR377H1,Introduction to Urban Data Analytics,"(2, 'Fall')!!",,,,Prereq: 8.0 credits,Fall!!,8.0 credits
GGR472H1,Developing Web Maps,"(1, 'Winter')",,,,"Prereq: 0.0 creditsUncleanable string: ""10.0 credits including  GGR272H1 and one of  GGR273H1 or  GGR274H1""",Winter,10.0 credits including  GGR272H1 and one of  GGR273H1 or  GGR274H1
NMC268H1,Data Science Applications in Archaeology,"(2, 'Fall')",,,,"Prereq: ('', '', 's', '', '-', '', '')",Fall,3.0 credits at the 100-level.
PCJ260H1,"Introduction to Peace, Conflict and Justice I","(1, 'Winter')",,,,Prereq: 4.0 credits,Winter,4.0 credits
PSY305H1,The Treatment of Psychological Data,"(3, 'Winter')!!",PSY202H1(unaccounted)/ECO220Y1/SOC252H1(unaccounted)/STA221H1,,EEB313H1,,Winter!!,PSY202H1/  ECO220Y1/  SOC252H1/  STA221H1/  ECO220Y5/  PSY202H5/  STA221H5/  PSYC08H3/  STAB27H3/  STAC32H3
RSM371H1,Data and Information Management for Business Analytics,"(2, 'Fall')",CSC108H1,,RSM312H1,,Fall,CSC108H1
RSM384H1,Sports Analytics,"(3, 'Fall')!!",ECO220Y1/ECO227Y1(unaccounted)/(STA220H1;STA255H1)/(STA237H1;STA238H1)/(STA257H1;STA261H1),,RSM314H1,,Fall!!,"ECO220Y1/​ ECO227Y1/​( STA220H1,  STA255H1)/( STA237H1,  STA238H1)/( STA257H1,  STA261H1)"
